question,answer
Welche Handlungsformen sind im deutschen allgemeinen Verwaltungsrecht zu unterscheiden?,Im deutschen Verwaltungsrecht unterscheidet man im Wesentlichen folgende Handlungsweisen der Verwaltung:Regelndes Handeln - Setzung einer unmittelbaren RechtsfolgeVAVerordnung Satzung Öffentlich-rechtlicher Vertrag Verwaltungsvorschrift Faktisches Handeln Realakt Privatrechtliches oder öffentlich-rechtliches Handeln Fiskalverwaltung Hoheitliche Tätigkeiten Mit Außenwirkung bzw. ohne Außenwirkung VA; VO; Satzung Verwaltungsvorschrift Konkret-individuell oder abstrakt-generellVAVO; Satzung; Verwaltungsvorschrift 
Was versteht man unter der sog. ﻿Speicherleistung ﻿eines Verwaltungsakts?,"Die Speicherleistung ist ein Begriff der allgemeinen Verwaltungsrechts, der ein Produkt der Systematisierung und Dogmatisierung dieser Disziplin ist:  Steht ein Akt als Verwaltungsakt i.S.d. Rechtsbegriffs (vgl. § 35 VwVfG) fest, so leiten sich daraus unmittelbar prozess-, verfahrens- und materiell-rechtliche Anforderungen ab. So sind dann die Klagearten des § 42 Abs. 1 VwGO ebenso immanent wie die Verfahrensanforderungen der §§ 35 ff., 28 VwVfG oder aber die Ermessenslehre i.S.d. § 40 VwVfG."
Welche Bedeutung kommt der verwaltungsrechtlichen Handlungsform bezogen auf den Rechtsschutz zu?,"Durch die Systematisierung der verwaltungsrechtlichen Handlungsweisen, schließen sich daran unmittelbar die prozessualen Rechtsbehelfe an. Insofern kommt den Handlungsweisen des VA, der Verordnung oder Satzung bzw. dem Realakt enorme Bedeutung zu: Der VA wird von der Anfechtungs- oder Verpflichtungsklage erfasst bzw. nach Erledigung auch von § 113 Abs. 1 S. 3 VwGO. Nur ausnahmsweise kann der zukünftige Erlass eines VA mit der vorbeugenden Unterlassungsklage als allgemeine Leistungsklage angegriffen werden.Handelt es sich um einen Realakt, so ist die allgemeine Leistungsklage bzw. die Feststellungsklage statthaft.Bei einer abstrakt-generellen Regelung ist nach § 47 Abs. 1 Nr. 2 VwGO i.V.m. § 109a JustG die abstrakte Normenkontrolle der richtige Rechtsbehelf Dem anschließend ist auch der einstweilige Rechtsschutz nach § 80 VwGO bzw. § 123 VwGO und § 47 Abs. 6 VwGO nach diesen Handlungsformen systematisiert"
Welche verwaltungsrechtlichen Handlungsformen werden im französischen Recht unterschieden und welche prozessualen Folgen sind hieran geknüpft?,In Frankreich unterscheidet man ausschließlich zwischen einseitigem und zweiseitigem Verwaltungshandeln. ﻿Einseitiges Handeln: ﻿Hier wird zwischen dem acte administratif (konkret-individuell) und dem acte administratif reglementaire (abstrakt-generell) unterschieden. Allerdings ist gegen beide Arten ﻿derselbe Rechtsbehelf ﻿statthaft (recours pur exces de pouvoir). Zweiseitiges Handeln entspricht hier auch dem öffentlich-rechtlichen Vertrag bzw. bedingt dem mitwirkungsbedürftigen VA ﻿Beachte: ﻿Im französischen Verwaltungsrecht wird ein größerer Wert auf die verfahrensrechtlichen Anforderungen des Verwaltungshandeln gelegt. Die Klagegründe entsprechen z.B. denen der Nichtigkeitsklage nach Art. 263 AEUV gegen Unionsrechtsakte. Ansonsten ist aber auch zwischen Rechtmäßigkeit und Wirksamkeit des VA zu unterscheiden. 
Folgt auch das britische Verwaltungsrecht der dogmatischen Systematisierung in verwaltungsrechtliche Handlungsformen?,"In Großbritannien kennt das Verwaltungsrecht keine konkreten Handlungsformen. Noch weniger sind an diese im Sinne einer Speicherfunktion etwaige verfahrens- oder prozessrechtlichen Folgen geknüpft. Vielmehr sind die Klagegründe für sämtliche Handlungsformen identisch: Illegality (vergleichbar mit dem Vorbehalt des Gesetzes und der Notwendigkeit einer Ermächtigung)Irrationality (Vergleichbar mit evidenten logischen Mängeln, also etwa im Rahmen von § 44 VwVfG)Proportionality (Verhältnismäßigkeit) Procedural unfairness (Verfahrens- und Formfehler) Auch hier kommt den Verfahrensfehlern ein ähnliches Gewicht wie der materiellen Seite des Verwaltungshandelns zu."
Zeichnen Sie die Entwicklungen des allgemeinen Verwaltungsrechts und seiner Strukturen nach!,"Das allgemeine Verwaltungsrecht wandelte sich aus der sog. Policeywissenschaft, welche im Kern die staatliche Wohlfahrt zugunsten des Bürgers betraf und daher enorme Handlungsspielräume des Staates bereithielt. Erst durch die aufkommende Liberalisierung entwickelte sich der Gedanke einer Freiheitssphäre des Bürgers, in die der Staat nur ausnahmsweise eingreifen darf. Daraus resultierte das Bedürfnis nach einem Eingriffsrecht unter dem rechtsstaatlichen Anspruch der Gesetzesbindung.In diesem Zuge wandelte sich auch die Polizeywissenschaft einerseits in das der Eingriffsverwaltung verschriebene Polizeirecht sowie die Polizeiwissenschaft, die man heute als Verwaltungslehre bezeichnen mag, also v.a. die Zweckmäßigkeit des Verwaltungshandeln betrifft."
Was gilt als historischer Kern des heutigen Verwaltungsrechts?,"Als Kern des heutigen Verwaltungsrechts gelten vor allem die Dogmatisierungsleistungen der Verwaltungsrechtswissenschaftler des 19. Jh., allen voran von Mohl und Otto Mayer. Sie prägten das Recht der Eingriffsverwaltung durch typische Rechtsinstitute, wie dem VA oder dem besonderen Gewaltverhältnis, wodurch insbesondere die rechtsstaatliche Ausgestaltung des allgemeinen Verwaltungsrechts in den Vordergrund gerückt werde sollte. Mittelpunkt des Ganzen ist bis heute Vorrang und Vorbehalt des Gesetzes."
Was versteht man unter dem Drei-Säulen-Konzept verwaltungsrechtlicher Kodifikationen?,"Sowohl in prozess-, als auch in verfahrensrechtlicher Hinsicht ist das deutsche Verwaltungsrecht auf drei Säulen aufgebaut, welche den jeweiligen Besonderheiten des Rechtsgebietes gerecht werden. So ist das Prozessrecht in SGG, VwGO und FGO unterteilt. Das Verfahrensrecht wiederum in VwVfG, AO und SGB X."
Wodurch ist das VwVfG als Kern des allgemeinen Verwaltungsrechts geprägt?,"Das deutsche allgemeine Verwaltungsrecht ist im speziellen durch Systembegriffe und dogmatische Zusammenhänge geprägt. Daneben wurzelt der Schwerpunkt im materiellen Recht, wie etwa die Regelungen der §§ 35 ff. VwVfG zeigen. Verfahrens- und organisationsrechtliche Aspekte rücken in den Hintergrund, wie etwa auch die Aussparung des Verwaltungsorganisationsrechts oder auch des Implementierungsvorgangs zeigt.Der allgemeine Teil des Verwaltungsrechts wird zudem durch spezielle ﻿Referenzgebiete ﻿aus dem besonderen Teil geprägt."
Welchen Wert hat eine Systembildung im allgemeinen Verwaltungsrecht?,"Systembildung sorgt für verschiedentlich Vorteile, die der Rechtsdogmatik allgemein nicht fern liegen, aber im allgemeinen Verwaltungsrecht äußert gegenwärtig sind: Rationalisierung und damit Vorhersehbarkeit des Verwaltungshandeln im Hinblick auf rechtsstaatliche Sicherheit. Hierdurch wird auch eine Akzeptanz der Verwaltung generiertEs ermöglich aus den Fachrechten hinaus Vergleichbarkeiten zu größeren Regelungsbereichen zu schaffen und Zusammenhänge aufzuzeigen Gleichzeitig ist es aber auch durch Systematisierung möglich etwaige Wertungswidersprüche aufzulösen, indem dogmatisierte Rechtsinstitute und Regeln miteinander verglichen werden, um die größtmögliche Stimmigkeit und Wirksamkeit zu erzielenDie Speicherfunktion der Systematisierung sorgt für eine Entlastung der RechtspraxisDie Systembildung sorgt für eine argumentativ nachvollziehbare Auslegung von Rechtsbegriffen und so für fachrechtsübergreifende Rechtsklarheit Systembildung hilft schließlich auch, um eine hinreichende Rezeption des Unionsrechts sicherzustellen. Denn um dessen volle Wirksamkeit zu entfalten, bedarf es der vollen Durchsicht der Bedingungen "
Welches Verhältnis von allgemeinem und besonderem Verwaltungsrecht wird durch die Systembildung erreicht?,"Diese Gebiete unterstehen einer wechselseitigen Bezogenheit, die sowohl deduktiv, als auch induktiv ausgestaltet sein kann. Zum einen bietet das besondere Verwaltungsrecht sog. Referenzgebiete, die das Fallmaterial sowie die Beispiele für Aussagen des allgemeinen Teils liefern. Hierfür eignen sich manche Gebiete mehr und andere weniger. Induktiv ist eine Vielzahl von dogmatischen Regelungen des allgemeinen Teils aus Vergleichen und Verallgemeinerungen bereichsspezifischer Regelungen des besonderen Verwaltungsrechts erwachsen. Deduktiv dagegen können die allgemeinen Regelungen durch immer neue Sachverhalte des Fachrechts erprobt und auf Widersprüche aufmerksam gemacht werden."
Was war das Reichskammergericht und wie entwickelte sich vor ihm der erste Rechtsschutz gegen die exekutive Gewalt?,"Das Reichskammergericht trug die sog. Untertanenprozesse aus. Dabei entschied es über die wohlerworbenen Rechte des Bürgers. Hierunter fielen v.a. Nutzungsrechte nach dem Vorbild des römischen Rechts. Es nahm dazu zunächst die Stellung eines ordentlichen Gerichts ein. Die Policeysachen in Ausübung hoheitlicher Gewalt waren ursprünglich noch nicht justitiabel. Allerdings erweiterte das Reichskammergericht seine Kompetenzen, indem es es die salus Publica entwickelte. Danach ist das Policeyhandeln zwar überprüfbar, allerdings dann zu rechtfertigen, wenn es der Polizey i.e.S. entspricht, also dem Gemeinwohl dient."
Welche Argumente sprechen gegen eine justizstaatliche Lösung?,"Mit der Zuweisung auch des Schutzes subjektiv-öffentlicher Rechte, wurde befürchtet, dass sich eine Art Gerichtsdespotismus entwickeln würde, da die ordentlichen Gerichte schlicht über der landesherrlichen Souveränität standen, sollten sie über seine Handlungen für das gemeine Wohl entscheiden dürfen. Zudem hatte die (konservative) Mehrheit Angst vor einer Politisierung der Justiz."
Was meint Administrativjustiz und in welchem Verhältnis steht sie zu der justizstaatlichen Lösung?,"Nach dem Ende des alten Reiches wurde Mitte des 19. Jh. zwischen der justizstaatlichen Lösung und der Administrativjustiz gestritten. Letztere war eine Art ﻿verwaltungsinterner Rekurs,﻿ der etwa mit dem heutigen Widerspruchsverfahren zu vergleichen ist und losgelöst von der dritten Gewalt entwickelt wurde. Der Grund hierfür lag neben der Beachtung der landesherrlichen Souveränität durch internen Rechtsschutz auch in der Befürchtung die administrativen Handlungsspielräume könnten durch die Justiz begrenzt werden. Die nötige Distanz zur ursprünglichen Verwaltungsentscheidung wurde durch die Einschaltung unabhängiger Beamter und gesicherter Verfahren sichergestellt.﻿"
Welchen Einfluss hatte das französische Vorbild auf die Entwicklung des Verwaltungsrechtsschutz im 19. Jh.?,"Das französische Vorbild bekannte sich zu der aus der Revolution stammenden ﻿strengen Gewaltenteilung. ﻿Es soll demnach nicht möglich sein, dass die Gerichte der Verwaltung vorschreiben, wie sie die Gesetze des Gesetzgebers auszulegen haben. Es wurde eine Regierung der Justiz"" befürchtet. Hierin lag mithin eine Bestärkung des Lagers der Administrativjustiz."""
